prefix,sample_id,species,latitude,longitude,location,region,DNA source,data_type,mapper,reference,layer_cm,layer_years,Kraken,period
93104_ID2632_15-327S_S41_L003,VAR17_327S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93105_ID2632_16-344S_S42_L003,VAR17_344S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93106_ID2632_17-352S_S43_L003,VAR17_352S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93107_ID2632_18-363S_S44_L003,VAR17_363S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93108_ID2632_19-383B_S45_L003,ANN17_383B,eggs,45.8523,6.1809,ANN,EU,egg,pe,bbmap,HiC,,,,
93109_ID2632_20-401S_S46_L003,ANN17_401S,eggs,45.8523,6.1809,ANN,EU,egg,pe,bbmap,HiC,,,,
93110_ID2632_21-108S_S47_L003,VAR17_108S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93111_ID2632_25-13S_S48_L003,VAR17_13S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93112_ID2632_26-171S_S49_L003,VAR17_171S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93113_ID2632_27-172S_S50_L003,VAR17_172S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93114_ID2632_28-177B_S51_L003,VAR17_177B,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93115_ID2632_29-57S_S52_L003,VAR17_57S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93116_ID2632_30-95S_S53_L003,VAR17_95S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93117_ID2632_31-187S_S54_L003,VAR17_187S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93118_ID2632_32-84S_S55_L003,VAR17_84S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93119_ID2632_33-28S_S56_L003,VAR17_28S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93120_ID2632_34-34S_S57_L003,VAR17_34S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93121_ID2632_35-104S_S58_L003,VAR17_104S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93122_ID2632_36-59S_S59_L003,VAR17_59S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93123_ID2632_37-198S_S60_L003,VAR17_198S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93124_ID2632_38-230S_S61_L003,VAR17_230S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93125_ID2632_39-256S_S62_L003,VAR17_256S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93126_ID2632_40-105B_S63_L003,VAR17_105B,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93127_ID2632_41-279S_S64_L003,VAR17_279S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93128_ID2632_42-362S_S65_L003,VAR17_362S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93129_ID2632_43-379B_S66_L003,VAR17_379B,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93130_ID2632_44-102S_S67_L003,VAR17_102S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93131_ID2632_46-10S_S68_L003,VAR17_10S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93132_ID2632_47-44S_S69_L003,VAR17_44S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93133_ID2632_48-169A_S70_L003,VAR17_169A,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93134_ID2632_49-170S_S71_L003,VAR17_170S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93135_ID2632_50-174S_S72_L003,VAR17_174S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93136_ID2632_51-176S_S73_L003,VAR17_176S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93137_ID2632_52-178B_S74_L003,VAR17_178B,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93138_ID2632_53-93S_S75_L003,VAR17_93S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93139_ID2632_54-47B_S76_L003,VAR17_47B,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93140_ID2632_55-48B_S77_L003,VAR17_48B,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93141_ID2632_56-49B_S78_L003,VAR17_49B,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93142_ID2632_57-62S_S79_L003,VAR17_62S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93143_ID2632_58-72S_S80_L003,VAR17_72S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93144_ID2632_59-9B_S81_L003,VAR17_9B,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93145_ID2632_60-52A_S82_L003,VAR17_52A,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93146_ID2632_61-157A_S83_L003,VAR17_157A,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93147_ID2632_62-166S_S84_L003,VAR17_166S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93148_ID2632_63-45A_S85_L003,VAR17_45A,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93149_ID2632_64-257S_S86_L003,VAR17_257S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93150_ID2632_65-335S_S87_L003,VAR17_335S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93151_ID2632_66-395B_S88_L003,ANN17_395B,eggs,45.8523,6.1809,ANN,EU,egg,pe,bbmap,HiC,,,,
93152_ID2632_67-400S_S89_L003,ANN17_400S,eggs,45.8523,6.1809,ANN,EU,egg,pe,bbmap,HiC,,,,
93153_ID2632_68-109A_S90_L003,VAR17_109A,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93154_ID2632_69-41S_S91_L003,VAR17_41S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93155_ID2632_70-42S_S92_L003,VAR17_42S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93156_ID2632_71-43B_S93_L003,VAR17_43B,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93157_ID2632_72-146S_S94_L003,VAR17_146S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93158_ID2632_73-147S_S95_L003,VAR17_147S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93159_ID2632_74-148B_S96_L003,VAR17_148B,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93160_ID2632_75-149S_S97_L003,VAR17_149S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93161_ID2632_76-92S_S98_L003,VAR17_92S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93162_ID2632_77-180S_S99_L003,VAR17_180S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93163_ID2632_78-111S_S100_L003,VAR17_111S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93164_ID2632_79-139S_S101_L003,VAR17_139S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93165_ID2632_80-75S_S102_L003,VAR17_75S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93166_ID2632_81-112B_S103_L003,VAR17_112B,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93167_ID2632_82-71S_S104_L003,VAR17_71S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93168_ID2632_83-106S_S105_L003,VAR17_106S,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93169_ID2632_84-385A_S106_L003,ANN17_385A,eggs,45.8523,6.1809,ANN,EU,egg,pe,bbmap,HiC,,,,
93170_ID2632_22-384S_S107_L003,ANN17_384S,eggs,45.8523,6.1809,ANN,EU,egg,pe,bbmap,HiC,,,,
93171_ID2632_23-393S_S108_L003,ANN17_393S,eggs,45.8523,6.1809,ANN,EU,egg,pe,bbmap,HiC,,,,
93172_ID2632_24-206A_S109_L003,VAR17_206A,eggs,45.8308,8.7166,VAR,EU,egg,pe,bbmap,HiC,,,,
93173_ID2632_45-413A_S110_L003,ANN17_413A,eggs,45.8523,6.1809,ANN,EU,egg,pe,bbmap,HiC,,,,
ALG1.bb.HiC,ALG1,zschokkei,46.400133,8.056661,Pond_Aletschgletscher,EU,clone,pe,bbmap,HiC,,,pass,REF
AMM66.bb.HiC,AMM66,galeata,48.0022,11.1174,Ammersee,EU,clone,pe,bbmap,HiC,,,pass,REF
Berse.bb.HiC,Berse,lacustris,58.3269,82.27,Lake Berse,EU,clone,pe,bbmap,HiC,,,pass,REF
BIEL4.bb.HiC,BIEL4,cucullata,47.080883,7.168551,Bielersee,EU,clone,pe,bbmap,HiC,,,pass,REF
BIEL6.bb.HiC,BIEL6,cucullata,47.080883,7.168551,Bielersee,EU,clone,pe,bbmap,HiC,,,pass,REF
BIEL8.bb.HiC,BIEL8,cucullata,47.080883,7.168551,Bielersee,EU,clone,pe,bbmap,HiC,,,pass,REF
BODO1808.bb.HiC,BODO1808,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,REF
BRT4.bb.HiC,BRT4,cucullata,49.122039,9.383044,Breitenauer See,EU,clone,pe,bbmap,HiC,,,pass,REF
BRZ15.bb.HiC,BRZ15,longispina,46.725078,7.963853,Brienzersee,EU,clone,pe,bbmap,HiC,,,pass,REF
BRZ28.bb.HiC,BRZ28,longispina,46.725078,7.963853,Brienzersee,EU,clone,pe,bbmap,HiC,,,pass,REF
BRZ7.bb.HiC,BRZ7,longispina,46.725078,7.963853,Brienzersee,EU,clone,pe,bbmap,HiC,,,pass,REF
CUC33.bb.HiC,CUC33,cucullata,52.888358,5.80008,Tjeukemeer,EU,clone,pe,bbmap,HiC,,,pass,REF
ENDI44.bb.HiC,ENDI44,galeata,45.778534,9.939591,Lago_di_Endine,EU,clone,pe,bbmap,HiC,,,pass,REF
Eva11.bb.HiC,Eva11,cucullata,50.166667,14.816667,Pond_Prerov_nad_Labem,EU,clone,pe,bbmap,HiC,,,pass,REF
Eva13.bb.HiC,Eva13,cucullata,50.166667,14.816667,Pond_Prerov_nad_Labem,EU,clone,pe,bbmap,HiC,,,pass,REF
Eva15.bb.HiC,Eva15,cucullata,50.166667,14.816667,Pond_Prerov_nad_Labem,EU,clone,pe,bbmap,HiC,,,pass,REF
F3J_1.bb.HiC,F3J_1,umbra,60.451058,7.794261,Pond_Fagerheim,EU,clone,pe,bbmap,HiC,,,pass,REF
F3J_2.bb.HiC,F3J_2,umbra,60.451058,7.794261,Pond_Fagerheim,EU,clone,pe,bbmap,HiC,,,pass,REF
FP2_2.bb.HiC,FP2_2,umbra,60.4534,7.7919,Pond_Fagerheim,EU,clone,pe,bbmap,HiC,,,pass,REF
FP2_3.bb.HiC,FP2_3,umbra,60.4534,7.7919,Pond_Fagerheim,EU,clone,pe,bbmap,HiC,,,pass,REF
FP2_4.bb.HiC,FP2_4,umbra,60.4534,7.7919,Pond_Fagerheim,EU,clone,pe,bbmap,HiC,,,pass,REF
G100.bb.HiC,G100,galeata,52.888358,5.80008,Tjeukemeer,EU,clone,pe,bbmap,HiC,,,pass,REF
GAR2.bb.HiC,GAR2,longispina,45.819783,9.406021,Lago_di_Garlate,EU,clone,pe,bbmap,HiC,,,pass,REF
GAR24.bb.HiC,GAR24,galeata,45.819783,9.406021,Lago_di_Garlate,EU,clone,pe,bbmap,HiC,,,pass,REF
GAR3.bb.HiC,GAR3,longispina,45.819783,9.406021,Lago_di_Garlate,EU,clone,pe,bbmap,HiC,,,pass,REF
GAR7.bb.HiC,GAR7,longispina,45.819783,9.406021,Lago_di_Garlate,EU,clone,pe,bbmap,HiC,,,pass,REF
GF1a.bb.HiC,GF1a,galeata,52.888358,5.80008,Greifensee,EU,clone,pe,bbmap,HiC,,,pass,REF
GPlsp1a.bb.HiC,GPlsp1a,zschokkei,45.502203,7.146726,Lake_Trebecchi_inferiore,EU,clone,pe,bbmap,HiC,,,pass,REF
H7long.bb.HiC,H7long,longispina,47.61306,9.395358,LC,EU,clone,pe,bbmap,HiC,,,pass,REF
ISEO86.bb.HiC,ISEO86,galeata,45.722611,10.071714,Lago_di_Iseo,EU,clone,pe,bbmap,HiC,,,pass,REF
KOC3.bb.HiC,KOC3,galeata,45.648061,14.87084,Rudniško_jezero,EU,clone,pe,bbmap,HiC,,,pass,REF
LCH9.bb.HiC,LCH9,longispina,47.558056,8.861944,Pond_Frauenfeld,EU,clone,pe,bbmap,HiC,,,pass,REF
LLC2.bb.HiC,LLC2,longispina,47.716647,9.034586,LC,EU,clone,pe,bbmap,HiC,,,pass,REF
MAGG229.bb.HiC,MAGG229,longispina,45.905927,8.567174,Lago_di_Maggiore,EU,clone,pe,bbmap,HiC,,,pass,REF
Magg230.bb.HiC,MAGG230,longispina,45.905927,8.567174,Lago_di_Maggiore,EU,clone,pe,bbmap,HiC,,,pass,REF
MikolaskjeIsofB.bb.HiC,MikolaskjeIsofB,cucullata,53.772682,21.603563,Pond_Prerov_nad_Labem,EU,clone,pe,bbmap,HiC,,,pass,REF
MS1.bb.HiC,MS1,longispina,47.8221,13.3804,Mondsee,EU,clone,pe,bbmap,HiC,,,pass,REF
MS2.bb.HiC,MS2,longispina,47.8221,13.3804,Mondsee,EU,clone,pe,bbmap,HiC,,,pass,REF
NEUE0208.bb.HiC,NEUE0208,longispina,46.918878,6.874495,Neuenburger_See,EU,clone,pe,bbmap,HiC,,,pass,REF
O10.bb.HiC,O10,umbra,61.1786,8.1651,Otrovatnet,EU,clone,pe,bbmap,HiC,,,pass,REF
O11.bb.HiC,O11,umbra,61.1786,8.1651,Otrovatnet,EU,clone,pe,bbmap,HiC,,,pass,REF
O12.bb.HiC,O12,umbra,61.1786,8.1651,Otrovatnet,EU,clone,pe,bbmap,HiC,,,pass,REF
O13.bb.HiC,O13,umbra,61.1786,8.1651,Otrovatnet,EU,clone,pe,bbmap,HiC,,,pass,REF
SARN0508.bb.HiC,SARN0508,longispina,46.868027,8.218006,Sarnersee,EU,clone,pe,bbmap,HiC,,,pass,REF
SEGR196.bb.HiC,SEGR196,galeata,45.82955,9.26612,Lago_del_Segrino,EU,clone,pe,bbmap,HiC,,,pass,REF
SIHL4.bb.HiC,Sihl4,cucullata,47.116476,8.789038,Sihlsee,EU,clone,pe,bbmap,HiC,,,pass,REF
Sihl7.bb.HiC,Sihl7,cucullata,47.116476,8.789038,Sihlsee,EU,clone,pe,bbmap,HiC,,,pass,REF
Sihl8.bb.HiC,Sihl8,cucullata,47.116476,8.789038,Sihlsee,EU,clone,pe,bbmap,HiC,,,pass,REF
Tc3.bb.HiC,Tc3,cucullata,47.904793,12.338272,Thaler_See,EU,clone,pe,bbmap,HiC,,,pass,REF
TJ210181.bb.HiC,TJ210181,zschokkei,46.9005,11098,Timmelsjoch_Pond2,EU,clone,pe,bbmap,HiC,,,pass,REF
TJ319102.bb.HiC,TJ319102,zschokkei,46.8979,11.0979,Timmelsjoch_Pond3,EU,clone,pe,bbmap,HiC,,,pass,REF
TS64.bb.HiC,Ts64,cucullata,47.904793,12.338272,Thaler_See,EU,clone,pe,bbmap,HiC,,,pass,REF
TsBr.bb.HiC,TsBr,cucullata,47.904793,12.338272,Thaler_See,EU,clone,pe,bbmap,HiC,,,pass,REF
ULCC2.bb.HiC,ULCC2,cucullata,47.5995,9.4316,LC,EU,clone,pe,bbmap,HiC,,,pass,REF
ULCN22.bb.HiC,ULCN22,galeata,9.393278,395.33,Upper Lake Constance,EU,clone,pe,bbmap,HiC,,,pass,REF
VARE249.bb.HiC,VARE249,galeata,45.8142,8.7361,Lago di Varese,EU,clone,pe,bbmap,HiC,,,pass,REF
WALE0408.bb.HiC,WALE0408,longispina,47.122243,9.202064,Walensee,EU,clone,pe,bbmap,HiC,,,pass,REF
WALE0608.bb.HiC,WALE0608,longispina,47.122243,9.202064,Walensee,EU,clone,pe,bbmap,HiC,,,pass,REF
ZPE101.bb.HiC,ZPE101,zschokkei,45.871964,7.170308,Pond_Great_St._Bernard_pass,EU,clone,pe,bbmap,HiC,,,pass,REF
ZUGE2108.bb.HiC,ZUGE2108,galeata,47.1313,8.4868,Zugersee,EU,clone,pe,bbmap,HiC,,,pass,REF
ZUGE2908.bb.HiC,ZUGE2908,galeata,47.1313,8.4868,Zugersee,EU,clone,pe,bbmap,HiC,,,pass,REF
GRE1408.bb.HiC,GRE1408,galeata,47.3516,8.6782,Greifensee,EU,clone,pe,bbmap,HiC,,,pass,REF
A1.bb.HiC,A1,curvirostris,50.166667,14.816667,Pond_Prerov_nad_Labem,EU,clone,pe,bbmap,HiC,,,pass,REF
CHH6.bb.HiC,CHH6,curvirostris,47.558056,8.861944,Frauenfeld,EU,clone,pe,bbmap,HiC,,,pass,REF
E48.bb.HiC,E48,curvirostris,50.437778,14.471944,Tupadly_Kokorinsko,EU,clone,pe,bbmap,HiC,,,pass,REF
S37101.bb.HiC,S37101,curvirostris,50.4378,14.4719,Pond_Kokorinsko,EU,clone,pe,bbmap,HiC,,,pass,REF
S37103.bb.HiC,S37103,curvirostris,50.4378,14.4719,Pond_Kokorinsko,EU,clone,pe,bbmap,HiC,,,pass,REF
S3R21.bb.HiC,S3R21,curvirostris,50.166667,14.816667,Pond_Prerov_nad_Labem,EU,clone,pe,bbmap,HiC,,,pass,REF
S63.bb.HiC,S63,curvirostris,50.166667,14.816667,Pond_Prerov_nad_Labem,EU,clone,pe,bbmap,HiC,,,pass,REF
Siegen.bb.HiC,SIEGEN,curvirostris,50.887631,8.017752,Siegen,EU,clone,pe,bbmap,HiC,,,pass,REF
